Package                   Version         Editable project location
------------------------- --------------- ----------------------------------------
aiosmtplib                2.0.2
aiosqlite                 0.22.1
alembic                   1.18.4
annotated-doc             0.0.4
annotated-types           0.7.0
anyio                     4.12.1
asyncpg                   0.31.0
attrs                     25.4.0
bcrypt                    5.0.0
boolean.py                5.0
CacheControl              0.14.4
certifi                   2026.2.25
cffi                      2.0.0
charset-normalizer        3.4.4
click                     8.3.1
coverage                  7.13.4
cyclonedx-python-lib      11.6.0
defusedxml                0.7.1
edictum                   0.11.3
edictum-console           0.1.0           /root/.nanobot/workspace/edictum-console
fakeredis                 2.34.1
fastapi                   0.135.1
filelock                  3.25.0
greenlet                  3.3.2
h11                       0.16.0
hiredis                   3.3.0
httpcore                  1.0.9
httptools                 0.7.1
httpx                     0.28.1
idna                      3.11
iniconfig                 2.3.0
jsonschema                4.26.0
jsonschema-specifications 2025.9.1
librt                     0.8.1
license-expression        30.4.4
Mako                      1.3.10
markdown-it-py            4.0.0
MarkupSafe                3.0.3
mdurl                     0.1.2
msgpack                   1.1.2
mypy                      1.19.1
mypy_extensions           1.1.0
packageurl-python         0.17.6
packaging                 26.0
pathspec                  1.0.4
pip                       25.0.1
pip-api                   0.0.34
pip_audit                 2.10.0
pip-licenses              5.5.1
pip-requirements-parser   32.0.1
platformdirs              4.9.2
pluggy                    1.6.0
prettytable               3.17.0
py-serializable           2.1.0
pycparser                 3.0
pydantic                  2.12.5
pydantic_core             2.41.5
pydantic-settings         2.13.1
Pygments                  2.19.2
PyNaCl                    1.6.2
pyparsing                 3.3.2
pytest                    9.0.2
pytest-asyncio            1.3.0
pytest-cov                7.0.0
python-dotenv             1.2.2
PyYAML                    6.0.3
redis                     7.2.1
referencing               0.37.0
requests                  2.32.5
rich                      14.3.3
rpds-py                   0.30.0
ruff                      0.15.4
sortedcontainers          2.4.0
SQLAlchemy                2.0.47
sse-starlette             3.3.2
starlette                 0.52.1
tomli                     2.4.0
tomli_w                   1.2.0
types-PyYAML              6.0.12.20250915
typing_extensions         4.15.0
typing-inspection         0.4.2
urllib3                   2.6.3
uvicorn                   0.41.0
uvloop                    0.22.1
watchfiles                1.1.1
wcwidth                   0.6.0
websockets                16.0
